,SKU,Product Description,Menge / Unit (Reference),Product Qty,Purchase,Shipping,Free Shipping,Purchace incl. Freight,Purchasing Total,Margin %,Yield,Unique Selling Price,Total Selling Price
33,100641010000-PAL,"Bambus-Küchenrolle (Mehrweg) Wiederverwendbar/ 20 Tücher , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 46 , Kartons auf Palette
 = 12",1.0,552.0,"5,040","4,99",250.0,"5,040","2782,08","0,20","556,42","6,05€","3338,50"
34,,,2.0,1104.0,"5,040","4,99",250.0,"5,040","5564,16","0,19","1057,19","6,00€","6621,35"
35,,,3.0,1656.0,"5,040","4,99",250.0,"5,040","8346,24","0,18","1502,32","5,95€","9848,56"
36,,,4.0,2208.0,"5,040","4,99",250.0,"5,040","11128,32","0,17","1891,81","5,90€","13020,13"
37,,,5.0,2760.0,"5,040","4,99",250.0,"5,040","13910,4","0,16","2225,66","5,85€","16136,06"
38,,,6.0,3312.0,"5,040","4,99",250.0,"5,040","16692,48","0,15","2503,87","5,80€","19196,35"
39,,,7.0,3864.0,"5,040","4,99",250.0,"5,040","19474,56","0,14","2726,44","5,75€","22201,00"
40,,,8.0,4416.0,"5,040","4,99",250.0,"5,040","22256,64","0,13","2893,36","5,70€","25150,00"
41,,,9.0,4968.0,"5,040","4,99",250.0,"5,040","25038,72","0,12","3004,65","5,64€","28043,37"
42,,,10.0,5520.0,"5,040","4,99",250.0,"5,040","27820,8","0,10","2782,08","5,54€","30602,88"
43,,,,,,,,,,,,,
44,100640010000,"Bambus-Servietten 2-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = braune Tüte 100 Stück , VE je Karton = 28 , Kartons auf Palette
 = 12",1.0,48.0,"2,350","4,99",250.0,"2,45","117,79","0,45","53,00","3,55€","170,79"
45,,,2.0,76.0,"2,350","4,99",250.0,"2,41","183,59","0,42","77,10","3,43€","260,69"
46,,,3.0,104.0,"2,350","4,99",250.0,"2,39","249,39","0,38","94,76","3,30€","344,15"
47,,,4.0,132.0,"2,350","4,99",250.0,"2,35","310,2","0,36","111,67","3,19€","421,87"
48,,,5.0,160.0,"2,350","4,99",250.0,"2,35","376,0","0,34","127,84","3,14€","503,84"
49,,,6.0,188.0,"2,350","4,99",250.0,"2,35","441,8","0,32","141,37","3,10€","583,17"
50,,,7.0,216.0,"2,350","4,99",250.0,"2,35","507,6","0,28","142,12","3,00€","649,72"
51,,,8.0,244.0,"2,350","4,99",250.0,"2,35","573,4","0,26","149,08","2,96€","722,48"
52,,,9.0,272.0,"2,350","4,99",250.0,"2,35","639,2","0,24","153,40","2,91€","792,6"
53,,,10.0,300.0,"2,350","4,99",250.0,"2,35","705,0","0,22","155,1","2,86€","860,1"
54,,,,,,,,,,,,,
55,100640010000-PAL,"Bambus-Servietten 2-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = braune Tüte 100 Stück , VE je Karton = 28 , Kartons auf Palette
 = 12",2.0,672.0,"2,350","4,99",250.0,"2,350","1579,2","0,20","315,84","2,82€","1895,04"
56,,,4.0,1344.0,"2,350","4,99",250.0,"2,350","3158,4","0,19","600,10","2,80€","3758,50"
57,,,6.0,2016.0,"2,350","4,99",250.0,"2,350","4737,6","0,18","852,77","2,77€","5590,37"
58,,,8.0,2688.0,"2,350","4,99",250.0,"2,350","6316,8","0,17","1073,86","2,75€","7390,66"
59,,,10.0,3360.0,"2,350","4,99",250.0,"2,350",7896,"0,16","1263,36","2,73€","9159,36"
60,,,12.0,4032.0,"2,350","4,99",250.0,"2,350","9475,2","0,15","1421,28","2,70€","10896,48"
61,,,14.0,4704.0,"2,350","4,99",250.0,"2,350","11054,4","0,14","1547,62","2,68€","12602,02"
62,,,16.0,5376.0,"2,350","4,99",250.0,"2,350","12633,6","0,13","1642,37","2,66€","14275,97"
63,,,18.0,6048.0,"2,350","4,99",250.0,"2,350","14212,8","0,12","1705,54","2,63€","15918,34"
64,,,20.0,6720.0,"2,350","4,99",250.0,"2,350",15792,"0,10","1579,20","2,59€","17371,20"
65,,,,,,,,,,,,,
66,100566010000,"Bambus-Besteck- Set (18er) 6xGabel, 6xLöffel, 6xMesser , Anzahl 
pro Verp. = 18 Stück , Umverpackung/ VE = braune Tüte 20 Stück , VE je Karton = 18 , Kartons auf Palette
 = 12",1.0,324.0,"0,300","4,99",250.0,"0,315","102,19","0,45","45,99","0,46€","148,18"
67,,,2.0,648.0,"0,300","4,99",250.0,"0,308","199,39","0,42","83,74","0,44€","283,13"
68,,,3.0,972.0,"0,300","4,99",250.0,"0,300","291,6","0,38","110,81","0,41€","402,41"
69,,,4.0,1296.0,"0,300","4,99",250.0,"0,300","388,8","0,36","139,97","0,41€","528,77"
70,,,5.0,1620.0,"0,300","4,99",250.0,"0,300",486,"0,34","165,24","0,40€","651,24"
71,,,6.0,1944.0,"0,300","4,99",250.0,"0,300","583,2","0,32","186,62","0,40€","769,82"
72,,,7.0,2268.0,"0,300","4,99",250.0,"0,300","680,4","0,28","190,51","0,38€","870,91"
73,,,8.0,2592.0,"0,300","4,99",250.0,"0,300","777,6","0,26","202,18","0,38€","979,78"
74,,,9.0,2916.0,"0,300","4,99",250.0,"0,300","874,8","0,24","209,95","0,37€","1084,75"
75,,,10.0,3240.0,"0,300","4,99",250.0,"0,300",972,"0,22","213,84","0,37€","1185,84"
76,,,,,,,,,,,,,
77,100566010000-PAL,"Bambus-Besteck- Set (18er) 6xGabel, 6xLöffel, 6xMesser , Anzahl 
pro Verp. = 18 Stück , Umverpackung/ VE = braune Tüte 20 Stück , VE je Karton = 18 , Kartons auf Palette
 = 12",2.0,7776.0,"0,300","4,99",250.0,"0,300","2332,8","0,20","466,56","0,36€","2799,36"
78,,,4.0,15552.0,"0,300","4,99",250.0,"0,300","4665,6","0,19","886,46","0,36€","5552,06"
79,,,6.0,23328.0,"0,300","4,99",250.0,"0,300","6998,4","0,18","1259,71","0,35€","8258,11"
80,,,8.0,31104.0,"0,300","4,99",250.0,"0,300","9331,2","0,17","1586,30","0,35€","10917,50"
81,,,10.0,38880.0,"0,300","4,99",250.0,"0,300",11664,"0,16","1866,24","0,35€","13530,24"
82,,,12.0,46656.0,"0,300","4,99",250.0,"0,300","13996,8","0,15","2099,52","0,35€","16096,32"
83,,,14.0,54432.0,"0,300","4,99",250.0,"0,300","16329,6","0,14","2286,14","0,34€","18615,74"
84,,,16.0,62208.0,"0,300","4,99",250.0,"0,300","18662,4","0,13","2426,11","0,34€","21088,51"
85,,,18.0,69984.0,"0,300","4,99",250.0,"0,300","20995,2","0,12","2519,42","0,34€","23514,62"
